file,n,ok_MSL,ok_ANNMAX,overall_ok,notes
magueyes_island_pr-246a-usa-uhslc_rq_annual.csv,56,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=2"
mayport_ferry_depot-8720220-usa-noaa_annual.csv,72,True,False,False,"MSL:no_level_shift_detected | ANNMAX:no_level_shift_detected,outlier_level_n=1"
mayport_fl-753a-usa-uhslc_rq_annual.csv,72,True,False,False,"MSL:no_level_shift_detected | ANNMAX:no_level_shift_detected,outlier_level_n=2"
murotomisaki-ma37-jpn-jodc_jma_annual.csv,51,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
nagasaki-362a-jpn-uhslc_rq_annual.csv,62,True,False,False,"MSL:no_level_shift_detected | ANNMAX:no_level_shift_detected,outlier_level_n=1"
nagasaki-ma49-jpn-jodc_jma_annual.csv,55,True,False,False,"MSL:no_level_shift_detected | ANNMAX:no_level_shift_detected,outlier_level_n=1"
naples_fl-757a-usa-uhslc_rq_annual.csv,54,False,True,False,"MSL:gappy_years,level_shift_years=2015 | ANNMAX:gappy_years,no_level_shift_detected"
narvik-nvk-nor-nhs_annual.csv,78,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
narviktg-nar-nor-cmems_annual.csv,78,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
nawiliwili-058-usa-uhslc_fd_annual.csv,70,True,False,False,"MSL:no_level_shift_detected | ANNMAX:no_level_shift_detected,outlier_level_n=3,outlier_spike_n=4"
nawiliwili-058a-usa-uhslc_rq_annual.csv,66,True,False,False,"MSL:no_level_shift_detected | ANNMAX:no_level_shift_detected,outlier_level_n=3,outlier_spike_n=4"
nawiliwili-1611400-usa-noaa_annual.csv,70,True,False,False,"MSL:no_level_shift_detected | ANNMAX:no_level_shift_detected,outlier_level_n=3,outlier_spike_n=4"
neah_bay-9443090-usa-noaa_annual.csv,88,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=2"
neah_bay_wa-558-usa-uhslc_fd_annual.csv,88,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
