filename,AIC_s,BIC_s,AIC_ns,BIC_ns,LRT_stat,LRT_p,beta1,gamma1,slope_MSL,errMSL,slope_res,errresid
geelong-60770-aus-bom_annual,312.25,317.67,323.79,332.83,-7.54,1.000000000,0.435445,0.000000,0.175695732,0.028990414,0.375657106,0.267895084
geraldton-62290-aus-bom_annual,409.23,415.30,427.70,437.83,-14.48,1.000000000,0.235140,0.000000,0.221774182,0.048180175,0.205866405,0.184897586
goteborgorsh-819-swe-uhslc_fd_annual,468.35,474.26,469.74,479.59,2.61,0.271424350,1.274845,0.000000,0.078317690,0.039843723,1.359809513,0.587871220
goteborgtorshamnen-got-swe-cmems_annual,475.91,481.88,471.90,481.84,8.01,0.018184779,1.713699,0.000000,0.073017551,0.036235272,1.752314821,0.572424865
guam-053-usa-uhslc_fd_annual,408.11,414.64,458.37,469.25,-46.26,1.000000000,-0.211194,0.000000,0.237772900,0.038706799,-0.131301688,0.058955188
hachijyojima-hd11-jpn-jodc_jcg_annual,503.37,509.56,500.69,511.00,6.68,0.035408090,-0.230014,0.000000,0.148509111,0.147449279,-0.246247738,0.099160246
hakata-hd18-jpn-jodc_jcg_annual,418.70,424.83,458.12,468.33,-35.42,1.000000000,0.211521,0.000000,0.292890241,0.021119070,0.358667845,0.228149956
hakodate-364a-jpn-uhslc_rq_annual,445.29,451.90,466.04,477.07,-16.76,1.000000000,0.183356,0.000000,-0.029599809,0.021813962,0.087795006,0.252842279
hamina-ham-fin-cmems_annual,499.29,505.20,499.85,509.71,3.43,0.179664006,0.657037,0.000000,-0.017934357,0.071350071,0.677551830,0.420383105
hamina_pitajansaari-134254-fin-fmi_annual,496.04,502.00,508.14,518.09,-8.11,1.000000000,0.649770,0.000000,-0.011605383,0.067279781,0.666424265,0.432028154
hammerfest-hft-nor-nhs_annual,414.68,420.70,418.71,428.75,-0.03,1.000000000,0.061836,0.000000,0.140108527,0.030234617,0.052338935,0.235568659
hammerfesttg-ham-nor-cmems_annual,428.46,434.59,434.69,444.91,-2.23,1.000000000,0.075445,0.000000,0.108587505,0.029161235,0.073428137,0.259266722
hanko-han-fin-cmems_annual,434.23,440.14,435.09,444.95,3.13,0.208899889,0.410561,0.000000,-0.038988496,0.062766827,0.513991470,0.237987421
hansweert-hanswt-nld-rws_hist_annual,476.85,482.40,482.77,492.02,-1.92,1.000000000,-0.314175,0.000000,0.346581719,0.045265305,-0.587904209,0.821506561
harlingen-harlgn-nld-rws_hist_annual,497.74,503.16,506.37,515.40,-4.63,1.000000000,0.539314,0.000000,0.177091083,0.052233460,0.909671494,1.614683222
harstad-har-nor-nhs_annual,465.77,472.20,467.24,477.95,2.53,0.282197560,0.405903,0.000000,0.048770113,0.023911462,0.405350846,0.235681342
harstadtg-har-nor-cmems_annual,460.28,466.76,471.39,482.18,-7.10,1.000000000,0.458794,0.000000,-0.051077199,0.023873096,0.521108749,0.236545430
heimsjo-hei-nor-nhs_annual,736.01,743.40,771.53,783.86,-31.52,1.000000000,1.534766,0.000000,-0.066961845,0.015650416,1.255654172,0.395062623
heimsjoetg-hei-nor-cmems_annual,737.29,744.69,770.13,782.46,-28.84,1.000000000,1.598419,0.000000,-0.113478575,0.015046001,1.328355733,0.355261551
helsinki-hel-fin-cmems_annual,465.42,471.33,466.05,475.90,3.37,0.185085078,0.441065,0.000000,-0.061802810,0.065474438,0.539249319,0.278381456
helsinki_kaivopuisto-132310-fin-fmi_annual,473.34,479.31,473.84,483.78,3.50,0.173483667,0.441635,0.000000,-0.057724252,0.062512815,0.545108471,0.279004726
hilo_hawaii-060-usa-uhslc_fd_annual,504.74,511.96,497.52,509.56,11.22,0.003664547,-0.019162,0.009270,0.312665930,0.017778495,-0.010585378,0.051485648
hiroshima-hd14-jpn-jodc_jcg_aligned_annual,561.79,568.12,595.12,605.67,-29.33,1.000000000,-0.393664,0.000000,0.517163959,0.025714611,-0.438259247,0.344455186
hoek_van_holland-hoekvhld-nld-rws_hist_annual,445.50,450.92,453.56,462.60,-4.07,1.000000000,-0.908861,0.000000,0.206340610,0.042715477,-0.789106620,1.057257094
honningsvaagtg-hon-nor-cmems_annual,380.33,386.06,382.90,392.46,1.43,0.489697481,-0.015506,0.034835,0.146836314,0.036096276,0.176957027,0.284230802
honningsvag-hvg-nor-nhs_annual,359.37,364.99,363.63,372.98,-0.25,1.000000000,-0.095650,0.000000,0.227424126,0.032756224,-0.073195098,0.229835611
honolulu-1612340-usa-noaa_annual,657.85,665.87,796.61,809.98,-134.76,1.000000000,0.024039,0.000000,0.146641336,0.010619950,-0.098550706,0.067698283
honolulu_hawaii-057-usa-uhslc_fd_annual,699.04,707.27,806.33,820.05,-103.29,1.000000000,-0.130701,0.000000,0.157039552,0.009856332,-0.190591001,0.057125022
