filename_x,AIC_s,BIC_s,AIC_ns,BIC_ns,LRT_stat,LRT_p,beta1,slope_MSL,errMSL,slope_res,errresid,filename_y,n_years,completeness,longitude,latitude,country
buenaventura-085a-col-uhslc_rq_annual,491.36,497.03,460.48,468.05,32.88,0.000000010,-0.675276,0.185411783,0.033018256,-0.739932325,0.598517671,buenaventura-085a-col-uhslc_rq,62,0.9949,-77.062,3.89,COL
buenos_aires-285a-arg-uhslc_rq_annual,560.80,566.93,531.96,540.13,30.84,0.000000028,2.286731,0.132103892,0.039055383,1.898273053,0.675401760,buenos_aires-285a-arg-uhslc_rq,57,1.0007,-58.5,-34.667,ARG
bunbury-62190-aus-bom_annual,440.76,446.73,442.49,450.45,0.27,0.600862357,0.125081,0.190349834,0.044000540,0.496565507,0.291943695,bunbury-62190-aus-bom,58,0.9515,115.66,-33.3234,AUS
bundaberg_burnett_heads-59820-aus-bom_annual,483.88,489.84,491.62,499.57,-5.74,1.000000000,-1.005253,0.230621739,0.037718846,-0.012197979,0.495589366,bundaberg_burnett_heads-59820-aus-bom,57,0.9689,152.3833,-24.7667,AUS
cadiz-cadi-esp-ieo_annual,387.81,393.55,389.54,397.19,0.27,0.600270597,0.079281,0.350344765,0.040052823,0.199759828,0.200325585,cadiz-cadi-esp-ieo,56,1.1977,-6.283,36.54,ESP
callao-093-per-uhslc_fd_annual,351.10,356.83,352.96,360.61,0.14,0.707130166,0.234270,-0.114060653,0.036402963,0.183867608,0.191069692,callao-093-per-uhslc_fd,56,0.9917,-77.15,-12.05,PER
cape_may-8536110-usa-noaa_annual,468.46,474.31,470.65,478.46,-0.20,1.000000000,0.230552,0.519436795,0.034701462,0.206387364,0.271739116,cape_may-8536110-usa-noaa,59,0.986,-74.959722,38.967778,USA
cape_may_nj-746a-usa-uhslc_rq_annual,434.52,440.13,422.97,430.45,13.55,0.000232232,0.199717,0.501153872,0.042875599,0.333941672,0.315625873,cape_may_nj-746a-usa-uhslc_rq,55,1.0209,-74.96,38.968,USA
cedar_key-8727520-usa-noaa_annual,895.78,903.41,919.45,929.62,-21.67,1.000000000,0.434577,0.236434208,0.012428992,0.587979215,0.334607864,cedar_key-8727520-usa-noaa,104,0.9835,-83.0317,29.135,USA
ceuta-207-esp-uhslc_fd_annual,421.24,427.85,421.30,430.12,1.94,0.163675881,0.255758,0.067265784,0.015997566,0.222073634,0.195010788,ceuta-207-esp-uhslc_fd,81,0.9953,-5.317,35.9,ESP
ceuta-207a-esp-uhslc_rq_annual,416.56,423.13,416.40,425.16,2.16,0.141843750,0.277629,0.064847592,0.016382549,0.248970031,0.198606350,ceuta-207a-esp-uhslc_rq,74,0.9985,-5.317,35.9,ESP
ceuta-ceta-esp-ieo_annual,428.70,435.22,441.91,450.61,-11.21,1.000000000,0.368686,0.061963973,0.016816074,0.313105058,0.253730186,ceuta-ceta-esp-ieo,73,1.1518,-5.314,35.89,ESP
charleston_sc-261-usa-uhslc_fd_annual,892.89,900.73,894.73,905.19,0.16,0.692060249,-0.047724,0.351444261,0.013452848,0.034885810,0.163335471,charleston_sc-261-usa-uhslc_fd,105,0.9887,-79.933,32.783,USA
charleston_sc-261b-usa-uhslc_rq_annual,856.62,864.34,857.79,868.09,0.83,0.363182684,-0.110159,0.339445807,0.013072264,-0.061817443,0.173426618,charleston_sc-261b-usa-uhslc_rq,101,0.9933,-79.925,32.782,USA
cherry_point-9449424-usa-noaa_annual,361.68,367.29,370.84,378.33,-7.16,1.000000000,0.512076,-0.011112601,0.037627200,0.455759050,0.341849594,cherry_point-9449424-usa-noaa,55,0.9861,-122.758,48.8633,USA
chiba-hd06-jpn-jodc_jcg_annual,523.63,529.86,524.42,532.73,1.21,0.271709300,0.398919,0.206645259,0.022438648,1.117809983,0.584126087,chiba-hd06-jpn-jodc_jcg,61,0.9817,140.04555,35.56805,JPN
churchill-274-can-uhslc_fd_annual,380.82,386.24,386.71,393.93,-3.88,1.000000000,0.284102,-1.015863772,0.046697571,0.336210955,0.142548260,churchill-274-can-uhslc_fd,64,0.972,-94.2,58.783,CAN
churchill-274a-can-uhslc_rq_annual,382.50,387.85,379.22,386.36,5.28,0.021587033,0.231458,-1.026994959,0.049091904,0.301866639,0.140183418,churchill-274a-can-uhslc_rq,58,0.9863,-94.183,58.767,CAN
churchill-5010-can-meds_annual,568.16,574.73,571.17,579.92,-1.01,1.000000000,0.279885,-0.867604536,0.032889245,0.323985722,0.087762268,churchill-5010-can-meds,86,0.911,-94.18,58.77,CAN
cordova_alaska-583b-usa-uhslc_rq_annual,356.74,362.35,358.62,366.10,0.12,0.724612656,-0.064874,0.224676015,0.053755477,-0.308355116,0.215179509,cordova_alaska-583b-usa-uhslc_rq,55,1.0674,-145.753,60.558,USA
coruna-coru-esp-ieo_annual,531.29,537.95,497.98,506.86,35.31,0.000000003,0.161472,0.257825524,0.024471813,0.048957437,0.148578708,coruna-coru-esp-ieo,74,1.1498,-8.3977,43.3683,ESP
crescent_city-9419750-usa-noaa_annual,655.77,663.03,654.30,663.98,3.47,0.062549899,0.390814,-0.084170985,0.014508306,0.309702668,0.290499886,crescent_city-9419750-usa-noaa,90,0.9824,-124.18439,41.74561,USA
crescent_city_ca-556-usa-uhslc_fd_annual,646.33,653.52,644.69,654.27,3.64,0.056432646,0.445979,-0.084768084,0.014804868,0.354256142,0.299967491,crescent_city_ca-556-usa-uhslc_fd,90,1.0254,-124.183,41.745,USA
crescent_city_ca-556a-usa-uhslc_rq_annual,610.24,617.27,607.67,617.05,4.57,0.032583241,0.441940,-0.089150786,0.015593118,0.293634806,0.302326345,crescent_city_ca-556a-usa-uhslc_rq,86,1.0324,-124.183,41.745,USA
cristobal-266-pan-uhslc_fd_annual,451.91,459.57,451.24,461.45,2.67,0.101970549,-0.048250,0.141121159,0.011391634,-0.069501926,0.044685293,cristobal-266-pan-uhslc_fd,102,1.0571,-79.9,9.35,PAN
cristobal-266a-pan-uhslc_rq_annual,474.34,482.09,474.32,484.66,2.02,0.154942160,-0.041290,0.140293445,0.010683151,-0.048520846,0.045605367,cristobal-266a-pan-uhslc_rq,105,1.0555,-79.915,9.355,PAN
cuxhaven-825-deu-uhslc_fd_annual,1042.40,1050.06,1056.46,1066.67,-12.06,1.000000000,1.592194,0.215579073,0.017560316,1.672673504,0.681776722,cuxhaven-825-deu-uhslc_fd,100,1.0758,8.717,53.867,DEU
cuxhaven-825a-deu-uhslc_rq_annual,1035.86,1043.46,1033.23,1043.36,4.63,0.031476360,1.981822,0.209582482,0.017883840,2.088779554,0.700364139,cuxhaven-825a-deu-uhslc_rq,98,1.0776,8.717,53.867,DEU
cuxhaven_steubenhoft-cux-deu-bfg_annual,1141.49,1149.45,1160.44,1171.06,-16.96,1.000000000,1.889182,0.210350410,0.018085942,1.983398137,0.632159129,cuxhaven_steubenhoft-cux-deu-bfg,108,0.9865,8.717343,53.867699,DEU
darwin-63230-aus-bom_annual,499.53,505.66,501.51,509.68,0.02,0.878521957,0.024565,0.339744323,0.048483141,-0.573666113,0.303061636,darwin-63230-aus-bom,64,0.9352,130.8459,-12.4718,AUS
degerby-deg-fin-cmems_annual,395.71,401.62,395.72,403.60,1.99,0.158009831,0.209501,-0.059642246,0.058504853,0.311087095,0.175890122,degerby-deg-fin-cmems,55,0.991,20.3848,60.031898,FIN
den_helder-denhdr-nld-rws_hist_annual,472.80,478.35,473.96,481.36,0.85,0.357918168,0.275305,0.170668708,0.042626819,0.411204102,1.184840937,den_helder-denhdr-nld-rws_hist,86,4.0778,4.74499,52.964357,NLD
den_oever_buiten-denovbtn-nld-rws_hist_annual,502.09,507.64,506.38,513.78,-2.29,1.000000000,-0.549558,0.241150356,0.047596731,-0.453265336,1.265392878,den_oever_buiten-denovbtn-nld-rws_hist,57,3.5474,5.045596,52.931535,NLD
draghallan-2062-swe-smhi_annual,491.30,497.82,505.90,514.59,-12.60,1.000000000,0.077633,-0.798541542,0.032316438,0.062880559,0.079256328,draghallan-2062-swe-smhi,73,0.9382,17.4667,62.3333,SWE
draghallan-dra-swe-cmems_annual,491.25,497.78,492.05,500.75,1.20,0.272882359,0.072330,-0.798548679,0.032317101,0.062896669,0.079255398,draghallan-dra-swe-cmems,73,0.9382,17.4667,62.333302,SWE
eastport-8410140-usa-noaa_annual,686.59,693.78,685.79,695.37,2.80,0.094349279,-0.248840,0.227708679,0.010828746,-0.571647074,0.223773322,eastport-8410140-usa-noaa,97,0.9855,-66.982903,44.904598,USA
eastport_me-740a-usa-uhslc_rq_annual,679.12,686.22,681.07,690.54,0.05,0.822468565,-0.032032,0.217442476,0.011081064,-0.585893370,0.296369807,eastport_me-740a-usa-uhslc_rq,93,0.9932,-66.985,44.903,USA
esbjerg-esb-dnk-dmi_annual,738.21,744.91,735.62,744.56,4.58,0.032312801,1.167616,0.290581456,0.036877404,1.160066617,0.547009202,esbjerg-esb-dnk-dmi,76,1.356,8.4333,55.4667,DNK
esperance-62080-aus-bom_annual,380.74,386.81,382.64,390.74,0.10,0.756066213,0.052043,0.169832105,0.037185390,-0.016565717,0.200570456,esperance-62080-aus-bom,58,0.9653,121.8954,-33.8709,AUS
